********************************************************************************

                  This is the radiation.data file (fort.4)
                             for NEQAIRv14.0

Comments and references for N2+ 1-

August 2, 2008. Dinesh K. Prabhu, ELORET Corp.
Removed Christophe Laux's data from the original file and replaced with
data from Gilmore, F R, Laher, R R, and Espy, P J, "Franck-Condon factors,
r-centroids, electronic transition moments, and Einstein coefficients for many
nitrogen and oxygen band systems," J. Phys. Chem. Ref. Data, Vol.21, p.1005, 1992.
********************************************************************************
                  Upper Lower States
N2+ 1-              3    1           band                 write format
  vu   vl     qvv   re [atomic]  origin [Ang] (2f5.1,1x,1pe9.3,1x,e9.3,0pf12.3)
  8.0  9.0 1.000E+00 1.516E-02       0.000
  9.0  9.0 1.000E+00 1.249E-01       0.000
 10.0  9.0 1.000E+00 3.601E-01       0.000
  0.0 10.0 1.000E+00 6.649E-04       0.000
  1.0 10.0 1.000E+00 3.449E-03       0.000
  2.0 10.0 1.000E+00 1.242E-02       0.000
  3.0 10.0 1.000E+00 3.504E-02       0.000
  4.0 10.0 1.000E+00 8.003E-02       0.000
  5.0 10.0 1.000E+00 1.479E-01       0.000
  6.0 10.0 1.000E+00 2.149E-01       0.000
  7.0 10.0 1.000E+00 2.283E-01       0.000
  8.0 10.0 1.000E+00 1.445E-01       0.000
  9.0 10.0 1.000E+00 5.534E-02       0.000
 10.0 10.0 1.000E+00 6.360E-02       0.000
  0.0 11.0 1.000E+00 3.984E-04       0.000
  1.0 11.0 1.000E+00 2.037E-03       0.000
  2.0 11.0 1.000E+00 7.350E-03       0.000
  3.0 11.0 1.000E+00 2.117E-02       0.000
  4.0 11.0 1.000E+00 5.057E-02       0.000
  5.0 11.0 1.000E+00 1.006E-01       0.000
  6.0 11.0 1.000E+00 1.650E-01       0.000
  7.0 11.0 1.000E+00 2.140E-01       0.000
  8.0 11.0 1.000E+00 2.009E-01       0.000
  9.0 11.0 1.000E+00 1.091E-01       0.000
 10.0 11.0 1.000E+00 9.209E-02       0.000
  0.0 12.0 1.000E+00 2.566E-04       0.000
  1.0 12.0 1.000E+00 1.284E-03       0.000
  2.0 12.0 1.000E+00 4.574E-03       0.000
  3.0 12.0 1.000E+00 1.322E-02       0.000
  4.0 12.0 1.000E+00 3.233E-02       0.000
  5.0 12.0 1.000E+00 6.757E-02       0.000
  6.0 12.0 1.000E+00 1.197E-01       0.000
  7.0 12.0 1.000E+00 1.751E-01       0.000
  8.0 12.0 1.000E+00 2.046E-01       0.000
  9.0 12.0 1.000E+00 1.681E-01       0.000
 10.0 12.0 1.000E+00 7.997E-02       0.000
  0.0 13.0 1.000E+00 1.768E-04       0.000
  1.0 13.0 1.000E+00 8.626E-04       0.000
  2.0 13.0 1.000E+00 3.018E-03       0.000
  3.0 13.0 1.000E+00 8.651E-03       0.000
  4.0 13.0 1.000E+00 2.130E-02       0.000
  5.0 13.0 1.000E+00 4.567E-02       0.000
  6.0 13.0 1.000E+00 8.482E-02       0.000
  7.0 13.0 1.000E+00 1.347E-01       0.000
  8.0 13.0 1.000E+00 1.781E-01       0.000
  9.0 13.0 1.000E+00 1.876E-01       0.000
 10.0 13.0 1.000E+00 1.319E-01       0.000
  0.0 14.0 1.000E+00 1.292E-04       0.000
  1.0 14.0 1.000E+00 6.152E-04       0.000
  2.0 14.0 1.000E+00 2.107E-03       0.000
  3.0 14.0 1.000E+00 5.959E-03       0.000
  4.0 14.0 1.000E+00 1.458E-02       0.000
  5.0 14.0 1.000E+00 3.155E-02       0.000
  6.0 14.0 1.000E+00 6.022E-02       0.000
  7.0 14.0 1.000E+00 1.007E-01       0.000
  8.0 14.0 1.000E+00 1.447E-01       0.000
  9.0 14.0 1.000E+00 1.731E-01       0.000
 10.0 14.0 1.000E+00 1.647E-01       0.000
  0.0 15.0 1.000E+00 9.877E-05       0.000
  1.0 15.0 1.000E+00 4.629E-04       0.000
  2.0 15.0 1.000E+00 1.552E-03       0.000
  3.0 15.0 1.000E+00 4.306E-03       0.000
  4.0 15.0 1.000E+00 1.044E-02       0.000
  5.0 15.0 1.000E+00 2.253E-02       0.000
  6.0 15.0 1.000E+00 4.356E-02       0.000
  7.0 15.0 1.000E+00 7.501E-02       0.000
  8.0 15.0 1.000E+00 1.135E-01       0.000
  9.0 15.0 1.000E+00 1.479E-01       0.000
 10.0 15.0 1.000E+00 1.606E-01       0.000
  0.0 16.0 1.000E+00 7.849E-05       0.000
  1.0 16.0 1.000E+00 3.620E-04       0.000
  2.0 16.0 1.000E+00 1.194E-03       0.000
  3.0 16.0 1.000E+00 3.259E-03       0.000
  4.0 16.0 1.000E+00 7.793E-03       0.000
  5.0 16.0 1.000E+00 1.670E-02       0.000
  6.0 16.0 1.000E+00 3.233E-02       0.000
  7.0 16.0 1.000E+00 5.659E-02       0.000
  8.0 16.0 1.000E+00 8.864E-02       0.000
  9.0 16.0 1.000E+00 1.220E-01       0.000
 10.0 16.0 1.000E+00 1.444E-01       0.000
  0.0 17.0 1.000E+00 6.399E-05       0.000
  1.0 17.0 1.000E+00 2.920E-04       0.000
  2.0 17.0 1.000E+00 9.532E-04       0.000
  3.0 17.0 1.000E+00 2.570E-03       0.000
  4.0 17.0 1.000E+00 6.056E-03       0.000
  5.0 17.0 1.000E+00 1.284E-02       0.000
  6.0 17.0 1.000E+00 2.479E-02       0.000
  7.0 17.0 1.000E+00 4.360E-02       0.000
  8.0 17.0 1.000E+00 6.954E-02       0.000
  9.0 17.0 1.000E+00 9.927E-02       0.000
 10.0 17.0 1.000E+00 1.244E-01       0.000
  0.0 18.0 1.000E+00 5.331E-05       0.000
  1.0 18.0 1.000E+00 2.426E-04       0.000
  2.0 18.0 1.000E+00 7.844E-04       0.000
  3.0 18.0 1.000E+00 2.093E-03       0.000
  4.0 18.0 1.000E+00 4.872E-03       0.000
  5.0 18.0 1.000E+00 1.023E-02       0.000
  6.0 18.0 1.000E+00 1.963E-02       0.000
  7.0 18.0 1.000E+00 3.455E-02       0.000
  8.0 18.0 1.000E+00 5.554E-02       0.000
  9.0 18.0 1.000E+00 8.077E-02       0.000
 10.0 18.0 1.000E+00 1.050E-01       0.000
  0.0 19.0 1.000E+00 4.516E-05       0.000
  1.0 19.0 1.000E+00 2.049E-04       0.000
  2.0 19.0 1.000E+00 6.600E-04       0.000
  3.0 19.0 1.000E+00 1.748E-03       0.000
  4.0 19.0 1.000E+00 4.039E-03       0.000
  5.0 19.0 1.000E+00 8.398E-03       0.000
  6.0 19.0 1.000E+00 1.598E-02       0.000
  7.0 19.0 1.000E+00 2.806E-02       0.000
  8.0 19.0 1.000E+00 4.521E-02       0.000
  9.0 19.0 1.000E+00 6.659E-02       0.000
 10.0 19.0 1.000E+00 8.883E-02       0.000
  0.0 20.0 1.000E+00 3.871E-05       0.000
  1.0 20.0 1.000E+00 1.758E-04       0.000
  2.0 20.0 1.000E+00 5.652E-04       0.000
  3.0 20.0 1.000E+00 1.490E-03       0.000
  4.0 20.0 1.000E+00 3.422E-03       0.000
  5.0 20.0 1.000E+00 7.066E-03       0.000
  6.0 20.0 1.000E+00 1.335E-02       0.000
  7.0 20.0 1.000E+00 2.331E-02       0.000
  8.0 20.0 1.000E+00 3.764E-02       0.000
  9.0 20.0 1.000E+00 5.574E-02       0.000
 10.0 20.0 1.000E+00 7.545E-02       0.000
  0.0 21.0 1.000E+00 3.367E-05       0.000
  1.0 21.0 1.000E+00 1.528E-04       0.000
  2.0 21.0 1.000E+00 4.906E-04       0.000
  3.0 21.0 1.000E+00 1.291E-03       0.000
  4.0 21.0 1.000E+00 2.954E-03       0.000
  5.0 21.0 1.000E+00 6.070E-03       0.000
  6.0 21.0 1.000E+00 1.142E-02       0.000
  7.0 21.0 1.000E+00 1.984E-02       0.000
  8.0 21.0 1.000E+00 3.191E-02       0.000
  9.0 21.0 1.000E+00 4.748E-02       0.000
 10.0 21.0 1.000E+00 6.474E-02       0.000
 -1.0
********************************************************************************
Comments and references for N2 1+

August 2, 2008. Dinesh K. Prabhu, ELORET Corp.
Removed Christophe Laux's data from the original file and replaced with
data from Gilmore, F R, Laher, R R, and Espy, P J, "Franck-Condon factors,
r-centroids, electronic transition moments, and Einstein coefficients for many
nitrogen and oxygen band systems," J. Phys. Chem. Ref. Data, Vol.21, p.1005, 1992.
********************************************************************************
                  Upper Lower States
N2 1+               3    2           band                 write format
  vu   vl     qvv   re [atomic]  origin [Ang]  (2f5.1,1x,1pe9.3,1x,e9.3,0pf12.3)
  0.0  0.0 1.000E+00 1.697E-01       0.000
  1.0  0.0 1.000E+00 1.632E-01       0.000
  2.0  0.0 1.000E+00 9.911E-02       0.000
  3.0  0.0 1.000E+00 4.290E-02       0.000
  4.0  0.0 1.000E+00 1.373E-02       0.000
  5.0  0.0 1.000E+00 3.244E-03       0.000
  6.0  0.0 1.000E+00 5.403E-04       0.000
  7.0  0.0 1.000E+00 5.631E-05       0.000
  8.0  0.0 1.000E+00 2.585E-06       0.000
  9.0  0.0 1.000E+00 6.902E-13       0.000
 10.0  0.0 1.000E+00 6.462E-09       0.000
 11.0  0.0 1.000E+00 1.355E-08       0.000
 12.0  0.0 1.000E+00 2.747E-08       0.000
 13.0  0.0 1.000E+00 1.584E-08       0.000
 14.0  0.0 1.000E+00 5.520E-09       0.000
 15.0  0.0 1.000E+00 1.502E-08       0.000
  0.0  1.0 1.000E+00 1.585E-01       0.000
  1.0  1.0 1.000E+00 1.371E-02       0.000
  2.0  1.0 1.000E+00 1.345E-01       0.000
  3.0  1.0 1.000E+00 1.284E-01       0.000
  4.0  1.0 1.000E+00 7.152E-02       0.000
  5.0  1.0 1.000E+00 2.724E-02       0.000
  6.0  1.0 1.000E+00 7.298E-03       0.000
  7.0  1.0 1.000E+00 1.346E-03       0.000
  8.0  1.0 1.000E+00 1.505E-04       0.000
  9.0  1.0 1.000E+00 7.157E-06       0.000
 10.0  1.0 1.000E+00 1.000E-14       0.000
 11.0  1.0 1.000E+00 4.891E-09       0.000
 12.0  1.0 1.000E+00 3.315E-08       0.000
 13.0  1.0 1.000E+00 4.166E-08       0.000
 14.0  1.0 1.000E+00 7.780E-08       0.000
 15.0  1.0 1.000E+00 3.454E-08       0.000
  0.0  2.0 1.000E+00 1.153E-01       0.000
  1.0  2.0 1.000E+00 1.093E-01       0.000
  2.0  2.0 1.000E+00 7.040E-02       0.000
  3.0  2.0 1.000E+00 7.812E-02       0.000
  4.0  2.0 1.000E+00 1.321E-01       0.000
  5.0  2.0 1.000E+00 9.373E-02       0.000
  6.0  2.0 1.000E+00 4.162E-02       0.000
  7.0  2.0 1.000E+00 1.255E-02       0.000
